TCGA-2H-A9GK-01A	TCGA-LN-A4A4-01A	TCGA-L5-A4OI-01A	TCGA-L5-A4OM-01A	TCGA-L5-A4OG-01A	TCGA-L5-A88Y-01A	TCGA-L5-A4OR-11A	TCGA-R6-A6XQ-01B	TCGA-ZR-A9CJ-01B	TCGA-L5-A8NW-01A	TCGA-S8-A6BV-01A	TCGA-2H-A9GM-01A	TCGA-LN-A4A5-01A	TCGA-LN-A7HY-01A	TCGA-2H-A9GL-01A	TCGA-IG-A3YA-01A	TCGA-JY-A6FB-01A	TCGA-JY-A938-01A	TCGA-LN-A49Y-01A	TCGA-LN-A5U6-01A	TCGA-L5-A88S-01A	TCGA-JY-A6FD-01A	TCGA-LN-A4A1-01A	TCGA-JY-A6FA-01A	TCGA-JY-A93C-01A	TCGA-LN-A49O-01A	TCGA-L7-A6VZ-01A	TCGA-L5-A88Z-01A	TCGA-R6-A6DN-01B	TCGA-JY-A6FH-01A	TCGA-L5-A8NU-01A	TCGA-L5-A4OG-11A	TCGA-2H-A9GG-01A	TCGA-IG-A625-01A	TCGA-LN-A49U-01A	TCGA-V5-A7RE-01A	TCGA-Q9-A6FW-01A	TCGA-2H-A9GR-01A	TCGA-VR-A8ER-01A	TCGA-IG-A97H-01A	TCGA-IG-A3I8-01A	TCGA-L5-A8NL-01A	TCGA-LN-A7HZ-01A	TCGA-VR-A8ET-01A	TCGA-L5-A88T-01A	TCGA-L5-A43E-01A	TCGA-IG-A4QS-01A	TCGA-IG-A5B8-01A	TCGA-VR-A8EW-01A	TCGA-L5-A8NQ-01A	TCGA-IC-A6RE-01A	TCGA-VR-A8EP-01A	TCGA-IG-A97I-01A	TCGA-JY-A93D-01A	TCGA-R6-A8WC-01A	TCGA-L5-A8NJ-01A	TCGA-L5-A8NE-01A	TCGA-R6-A8W5-01B	TCGA-L5-A8NS-01A	TCGA-R6-A6L4-01A	TCGA-R6-A6Y0-01B	TCGA-L5-A4OQ-11A	TCGA-LN-A49X-01A	TCGA-LN-A9FP-01A	TCGA-VR-A8EX-01A	TCGA-L5-A4ON-01A	TCGA-VR-A8EO-01A	TCGA-LN-A49M-01A	TCGA-LN-A8I0-01A	TCGA-V5-AASX-01A	TCGA-LN-A49S-01A	TCGA-Z6-A8JD-01A	TCGA-L5-A88V-01A	TCGA-IG-A7DP-01A	TCGA-KH-A6WC-01A	TCGA-JY-A93E-01A	TCGA-V5-A7RC-06A	TCGA-VR-A8EY-01A	TCGA-2H-A9GJ-01A	TCGA-LN-A7HX-01A	TCGA-VR-AA4D-01A	TCGA-L5-A893-01A	TCGA-IC-A6RF-11A	TCGA-2H-A9GI-01A	TCGA-Z6-AAPN-01A	TCGA-LN-A8I1-01A	TCGA-LN-A49W-01A	TCGA-V5-AASW-01A	TCGA-IG-A8O2-01A	TCGA-V5-A7RC-01B	TCGA-VR-A8Q7-01A	TCGA-JY-A939-01A	TCGA-L5-A4OJ-11A	TCGA-L5-A4OX-01A	TCGA-L5-A4OU-01A	TCGA-IC-A6RE-11A	TCGA-R6-A8WG-01A	TCGA-L5-A8NV-01A	TCGA-L5-A8NF-01A	TCGA-Z6-A9VB-01A	TCGA-L5-A4OP-01A	TCGA-L5-A8NH-01A	TCGA-LN-A7HW-01A	TCGA-L7-A56G-01A	TCGA-LN-A7HV-01A	TCGA-V5-A7RE-11A	TCGA-IG-A5S3-01A	TCGA-L5-A4OT-01A	TCGA-L5-A4OH-01A	TCGA-L5-A8NR-01A	TCGA-JY-A6FE-01A	TCGA-IG-A4P3-01A	TCGA-IG-A3QL-01A	TCGA-Z6-A8JE-01A	TCGA-RE-A7BO-01A	TCGA-V5-AASX-11A	TCGA-XP-A8T6-01A	TCGA-IG-A3YB-01A	TCGA-VR-A8EQ-01A	TCGA-LN-A9FQ-01A	TCGA-IG-A50L-01A	TCGA-LN-A4A3-01A	TCGA-IC-A6RF-01A	TCGA-2H-A9GO-01A	TCGA-L5-A4OS-01A	TCGA-LN-A9FR-01A	TCGA-L5-A8NG-01A	TCGA-LN-A9FO-01A	TCGA-L5-A8NM-01A	TCGA-L5-A88W-01A	TCGA-L5-A8NT-01A	TCGA-L5-A891-01A	TCGA-VR-A8EU-01A	TCGA-JY-A93F-01A	TCGA-L5-A8NI-01A	TCGA-R6-A6KZ-01A	TCGA-R6-A8W8-01B	TCGA-R6-A6XG-01B	TCGA-LN-A49P-01A	TCGA-LN-A8HZ-01A	TCGA-LN-A4A9-01A	TCGA-VR-A8EZ-01A	TCGA-LN-A4A8-01A	TCGA-2H-A9GF-01A	TCGA-L5-A4OF-11A	TCGA-L5-A4OJ-01A	TCGA-L5-A4OO-11A	TCGA-L5-A43C-01A	TCGA-XP-A8T8-01A	TCGA-2H-A9GN-01A	TCGA-LN-A5U5-01A	TCGA-R6-A6DQ-01B	TCGA-2H-A9GH-01A	TCGA-JY-A6FG-01A	TCGA-LN-A5U7-01A	TCGA-IG-A51D-01A	TCGA-IG-A3YC-01A	TCGA-LN-A4MQ-01A	TCGA-L5-A43J-01A	TCGA-L5-A4OE-01A	TCGA-S8-A6BW-01A	TCGA-V5-A7RB-01A	TCGA-L5-A43C-11A	TCGA-M9-A5M8-01A	TCGA-VR-AA4G-01A	TCGA-L5-A8NK-01A	TCGA-V5-AASV-01A	TCGA-L5-A8NN-01A	TCGA-IG-A6QS-01A	TCGA-L5-A4OO-01A	TCGA-VR-AA7I-01A	TCGA-L5-A4OW-01A	TCGA-2H-A9GQ-01A
S100A9	5.42681091	5.613740438	4.889225505	12.04918	11.09698	11.65446	4.923292	12.333305146	6.371398	12.85726	8.959898	10.099968058	6.021452044	10.23998657	3.628723538	11.040825422	3.482542	7.966187374	8.770767352	10.36747	11.274446547	12.3814	12.26051	13.67869	6.234358133	6.542593	5.107724	12.451276525	6.248635	9.568575	6.986861	3.316169076	3.579192373	9.233562	10.24783	4.59089	13.28267	2.120118813	10.13197	12.673119815	8.770075	6.394592724	6.832969	13.626081847	13.973886166	3.90331158	8.913792509	13.603367555	12.98076	13.558476622	6.482706253	12.464533388	9.76729337	5.291866	2.341154	4.816889269	4.027353	8.93454	5.106772221	13.3739	14.17462	5.680242	7.780825	4.960333	13.198670102	7.218284	3.967221424	12.15629	11.43115859	4.254024	14.01968	10.222676277	9.950533	5.145628091	14.25002	5.312934	6.562307	9.336422	2.393611	10.31262	4.496410905	12.003353271	12.153757217	6.394340998	12.607	10.721519464	11.499957725	5.200334	9.259724	10.38337	9.052681184	4.997586776	6.96975142	3.351290102	5.048465695	14.167377747	5.329969	9.717928706	4.121801812	11.634517776	8.347127	5.028999821	10.64492	13.18428	10.15347	4.715765486	10.462148858	3.945255846	5.110654615	4.896787213	7.208670263	12.412097153	8.344872	7.002440401	6.675829	1.516132	12.316997522	7.717456	5.692724	9.795241	7.470722586	12.528870706	12.15121	3.823624091	10.33579	7.661805	5.812219756	11.121802628	5.739099	13.64678	4.602514106	6.311437	12.04312	12.38742491	3.379454	7.122766169	10.15025	1.499181	9.51523	11.83576	9.724411924	4.496948916	6.704128581	6.245645	3.870124	3.191646	2.500633744	8.291242	12.026873958	7.662811074	9.615795	6.907855634	5.573849567	14.52627	8.88629245	11.97122	11.504406438	10.872164182	7.361863	11.86877	8.091269	10.88245	3.899516	8.73358612	12.391644056	13.323549053	11.34634251	7.192729127	11.384849107	4.273216955	10.422719044	9.09108306	5.093752674
CBR1	3.313259679	4.702444131	3.820002567	3.829416	3.592327	3.584912	5.004035	3.485438058	2.990196	3.836803	4.413686	3.991929889	3.754204426	3.944273267	3.982470381	4.032979133	3.919555	3.851657331	4.419441774	5.656879	4.1493217	3.709847	5.35153	6.971098	3.80244038	3.908739	3.733219	7.41010051	2.768372	3.389897	3.644658	5.461550203	3.265737238	8.130789	5.742447	3.054229	3.445471	3.636167101	6.019443	6.141730914	3.154353	4.233083228	7.822212	3.683018484	4.799748361	3.513854638	3.232733787	3.781981026	4.904885	4.885456141	3.517724144	4.332412605	4.322778698	3.182588	3.543774	3.835175995	3.437955	3.674829	3.024004382	4.459613	4.886676	2.888148	4.538493	3.874908	5.129202159	4.522467	2.968208936	5.483159	6.52570449	4.463267	5.732498	3.738920621	3.829062	3.548114959	5.036358	2.814805	6.645369	5.134284	4.024135	4.769652	3.908590991	4.282611832	6.196169008	3.993327354	4.336351	6.037142024	5.021710388	3.632687	7.730767	5.80851	2.54829779	3.511624461	4.117091787	3.110259188	3.688205888	4.869174234	3.588117	3.698425523	2.712983335	7.05099715	2.759062	3.443036255	6.558996	4.402275	6.764146	3.11976998	3.812974282	2.774934916	3.67592268	3.090389116	4.525894633	4.802984406	8.388192	3.487586724	4.227371	4.499521	5.603938645	7.557385	4.151317	6.654713	5.756154749	4.458418867	4.402242	4.407552496	2.827103	4.741724	3.001210401	4.330553483	4.462898	5.012923	3.026115078	3.051185	4.497022	2.263529906	4.370419	3.504985667	3.942323	4.155328	6.894857	6.368544	3.920013308	7.213143097	3.436727277	3.496845	4.510179	4.613978	3.271758065	2.984465	5.656035035	2.765562166	6.510129	3.810188839	4.869238615	4.312164	5.906814811	4.780185	4.489222448	7.015363126	4.189089	3.474689	6.365436	2.405282	4.089214	4.010850121	5.043962175	4.700757207	4.401617863	4.130452192	4.565882609	3.592239371	4.451796591	3.852814112	2.969191079
GJB6	0.084091876	7.095426077	0.010397038	6.155371	5.220645	4.469074	0.6633294	5.748498322	0.2231055	6.026427	2.113152	3.915064872	1.666070587	3.538499731	0.39311716	3.508171178	0.05504773	0.416127429	5.82584781	7.53855	4.544009238	6.615233	7.439532	7.137859	0.808366364	5.579383	0.2473732	6.791517207	0.2703176	1.433115	0.5913478	0.393037406	1.369411007	6.163416	7.569944	1.015497	5.731898	1.833183905	5.273006	7.927585466	3.687621	0.457189776	2.239975	8.996206975	6.581049939	0.048886992	2.173233706	6.63660352	8.39866	7.630145961	0.2068098	6.076677008	4.807197496	0.4606246	0.1290439	2.183407405	1.633684	0.3921593	2.468157229	6.335907	6.417856	0.00622013	4.364953	4.310454	6.48054256	1.945392	0.049521271	8.020597	5.892182775	0.02785158	7.109877	7.163241137	2.828858	0.102808499	7.362009	0.04296792	5.700521	5.446365	0.3042922	5.889954	0.722927299	4.954525919	6.650661252	0.401379741	8.698234	3.57163082	5.801803408	0.1728348	2.417731	6.888972	0.231937284	0.070022441	0.984117809	0.772844534	0.390952081	7.249946531	0	2.68695142	0.31486404	6.209219562	0.950189	0.007992021	6.680539	6.843869	7.279241	0.558720649	3.653129861	0.159182238	0.191882458	0.527586113	4.143204148	4.932723461	4.900479	0.876921163	0.248121	0.03957275	6.667539938	0.4032872	0.2994652	5.948017	5.756683745	7.118124884	3.97736	1.81903749	0.6593026	5.495621	0.912200505	4.456292181	0.04234948	7.262664	0.9987405	2.23177	7.114968	8.053640539	1.35817	0.38439298	2.984129	0.06110521	4.892947	5.899847	7.063446055	6.505437229	1.326384178	1.470434	1.462554	0.0763422	0.011108288	1.222786	4.55369022	0.251126373	1.733295	2.011313678	0.583452067	8.978577	7.948524352	6.379408	5.641558266	7.467045383	5.000173	5.71375	4.87475	4.977284	0.01367191	2.554307016	6.168821245	6.428043415	4.372584814	0	5.318750486	0.500518751	7.187255887	0.835863189	0.344954215
SERPINB13	0.021265882	4.090320188	0.005154007	6.333698	3.591571	3.554028	0.2867211	4.449962984	0.01484713	6.095709	2.408043	2.716500834	0.702929009	2.73423299	0.064776906	3.65557213	0.01969703	0.826330332	3.215084254	0.9976907	2.692528893	4.885774	2.532709	5.029298	0.212760532	1.459724	0.02438944	7.080350553	0.01671535	0.7286107	0.1785227	0.057392613	0.004722485	6.125563	3.508798	0.2124357	6.002543	0	2.105994	1.531765994	3.718938	0.00364167	1.46884	7.313758664	6.225823087	0.012250188	1.275270926	6.228880438	6.052032	5.081450113	0.120568708	5.123255426	4.501408677	0	0.003923839	0.938994962	0.00713141	0.02562409	0.043469059	5.780946	6.003892	0	2.955893	1.156186	5.535997476	1.173044	0.142320093	1.672889	3.359592497	0	6.924754	2.980943908	1.835233	0.019638698	6.664166	0.004309773	1.986942	1.989767	0.01515882	4.824302	0.208266501	4.04402933	7.167152054	0	4.283955	2.851920233	1.200338685	0.2825103	1.042463	4.841394	0.767860034	0	0.763766652	0.010500747	0.094394073	5.996316737	0.0145502	2.139828429	0	6.224732618	0.01394123	0.088441029	4.957537	5.641898	5.056104	0.348272574	3.257746304	0	0.098135795	0.038344342	0.026714896	4.664197235	4.194849	2.740948318	0.1133196	0	4.146556428	1.180984	0.05516453	4.20306	4.027627834	5.017510871	2.404312	0.040615681	0.1118625	3.955914	0.04229924	3.012278364	0.01691318	2.216287	0.047952762	0.2627252	2.107149	1.736145912	0.03215002	0.014457481	2.717121	0	4.064512	3.969746	3.4394596	2.48373307	0.642129611	0	0.006514066	0.00773778	0	0	5.02440793	0.015003123	3.200976	0.045010822	0.30997356	5.78077	1.987573518	4.774334	4.763521039	5.212040571	4.850127	4.76019	5.933155	3.387253	0	1.755208837	4.351694061	6.230134439	1.263793306	0	0.857109768	0.003890255	4.796134811	0.728990575	0
ARL4D	0.460462817	3.73631256	1.116318018	3.201546	2.803672	2.565588	0.434795	2.07674233	2.527418	4.303208	2.053515	2.399579812	2.85698893	3.522679101	1.139551039	2.61463733	0.2362112	1.577813059	3.210291686	3.914653	3.554478716	4.555233	3.610751	3.970857	0.572359788	4.552183	0.2532101	6.206264142	0.2491566	3.76723	2.116097	1.126470953	1.15496681	4.72583	3.833843	1.675231	3.539	0.80909564	4.159221	3.922970191	2.761371	0.975995357	4.388405	5.125764037	4.801120749	0.142682089	1.634033053	3.55122166	3.584877	4.93327318	1.305262471	5.209986963	4.686865387	1.47171	0.2984925	0.737207048	1.263664	0.6938264	1.793652791	4.092321	3.489373	2.804198	4.443812	3.052784	4.539730077	0.9452999	2.315137798	4.294648	4.721259808	0.5672033	4.63799	4.3574436	2.011925	1.011029966	4.24849	0.7354511	2.990718	4.303489	0.2183926	4.324427	1.121450769	2.555390708	6.20112886	0.404853291	4.085442	4.179350108	2.683489965	0.4457708	3.787949	3.54086	3.084599467	0.933495049	0.916847862	0.277822297	2.922939778	4.163107582	1.468861	1.32302937	0.215703309	4.516748372	1.022354	0.534568852	4.767644	4.131369	5.149532	0.954352421	2.370941798	2.61814986	0.988220466	0.764524039	3.596258238	3.535787926	3.802359	1.973652246	0.3585442	0.2364335	4.072296123	4.603533	0.5480579	3.675721	3.487285647	3.098493652	4.532402	1.738453142	1.547801	4.530248	0.884678175	3.370298601	0.2214132	5.179819	1.658820867	0.6099945	3.856074	6.077470116	1.778296	0.857775605	1.663426	0.624843	3.159831	5.06764	3.933792671	2.702211086	1.194572941	1.846989	0.8698955	0.0950223	1.827846753	0.7802796	3.656070797	1.112135316	4.830991	0.597071415	1.039437347	4.502576	3.459006402	3.18401	4.08917068	4.091777772	5.0398	3.414751	3.293947	1.864143	0.5884985	1.884490022	4.078883231	4.488919243	3.768506779	2.162363618	5.47814213	2.061862145	4.786138319	0.925877316	4.934491244
SPRR2G	0.042140427	0.146469805	0	2.699256	0.9856061	6.29624	0.5335269	9.25053642	0.02948511	5.74664	0.08067378	6.478068779	0.145023935	1.429906028	0	3.882404608	0.09200825	0.038375474	1.062281885	0.6076882	6.6218128	5.440328	5.875304	2.516874	0.397449979	1.34186	0.02778561	7.67518564	0.06560261	0.8562662	0.04813304	0	0	0.2531255	4.187098	0.09004691	4.234313	0	2.682031	4.286473046	3.696395	0	1.723769	10.648443669	0.446347553	0	0.211576853	7.296983912	5.884998	4.571914179	0.195328063	5.209837487	2.583106968	0.03417045	0	0.520463003	0.028261	0	0	6.477686	4.018421	0	6.14238	0.03118115	3.049292219	0.3441698	0.320006037	6.109438	5.177349612	0	3.891911	1.775424289	2.249744	0.935003758	4.50556	0	0.2682649	2.870034	0	4.212618	0.60266335	1.453676412	5.788857419	0	3.981872	1.734933965	3.220762536	0	0.3800805	5.720869	1.125136361	0	0.039842269	0.159177528	0	2.572513714	0	1.310352303	0	6.624514772	0.1077246	0	4.661331	4.498805	0.2437498	1.073226695	0.470230083	0	0.283979216	0	0.136823783	3.118615015	6.041179	0.305726626	0.1229594	0	8.692921037	0.03560108	0.2895841	5.895497	3.59792083	8.191400861	6.729252	0.114897109	0.09966207	0.334511	0	2.838767763	0.4109171	7.984661	0	0.07125175	7.985522	4.975141739	0.1634315	0	0.5844035	0	0.3660245	6.517011	0.617409889	0.216446104	0.210080711	0	0	0	0	0	2.764735559	0.029793307	0	0	0	6.977463	5.137600654	1.715893	5.517410511	0.554193533	3.00356	1.823477	2.962396	5.84359	0	0.268843984	4.409222066	2.497363307	2.649101732	0	2.898091353	0	5.619524077	0.266252927	0
KRT20	5.647075504	0.018850237	7.889101132	0.02886215	0.22274	3.092479	5.55804	0.439360687	1.125446	1.065104	3.259074	5.301054536	0.027894169	0	3.841334524	2.056304568	8.18291	8.679234784	0.328899119	0.007481372	0	0.5679171	0.009772972	0.2932744	7.078329778	0.009055492	2.620995	0.065098819	0.5511171	0.3211633	4.05	6.36790679	2.864476047	0	0	6.920253	9.048421	3.894200249	0.01191534	0.045198993	0.04373435	0.231249671	0	0.408694553	3.208425783	2.342283975	9.042665823	0.365249911	0.2459344	0.029273846	7.442351246	1.693422074	0	4.143578	9.96328	0.887319264	1.195603	3.479342	0.379163112	0.02684754	1.977083	0.03739866	0.008542533	0.1989929	0.305359528	7.283336	1.096042525	0.008443155	0.019950384	5.349956	0.4919068	0.058107583	0.02678713	2.339948515	0.04415156	0.9620837	0.1628173	0.05329434	1.941637	0	9.48818184	7.779391479	0.151798587	4.532432227	0.1046365	0.147275189	0.080066164	7.881324	0.03773078	0.03643311	1.620450237	4.710139871	3.800366905	1.519242855	3.150736892	0.704908552	0.3398441	2.056727079	2.574973613	0.071202821	4.539182	6.373593623	0.01026804	0	0	7.425381303	0.077693502	0.127201523	6.122985647	1.912422322	0.021913039	0.213089576	0.024912	0.130161767	8.479789	4.251354	0.44979654	0.2628784	0.06746992	2.039939	0.04511461	0	0	0.447288271	0.7628891	1.828692	7.750622374	0.604270886	5.05342	0	8.285175578	0.1892872	0.02071472	0	0.2885855	4.514486784	8.050346	1.33209	0	0.0793058	0	0.400732846	0.030599227	1.667193	2.360555	4.77	3.478652803	5.433132	0.044641086	2.897698366	0.04796425	1.73514496	6.773853687	0.5602192	0	0.458502	0.195781688	0.145591472	0.1107242	3.864562	0.01503902	5.977101	4.440084	2.055792059	0.281320461	0.459556805	0.035210662	1.31898184	0.010611975	0.128118242	0.119648326	4.129902245	0.42930892
NDRG1	5.190980398	7.810207453	5.568339775	6.751736	6.094583	5.31021	4.161216	4.054843734	4.052164	6.228367	6.603097	5.474249223	4.821733448	4.399880889	5.024778675	5.976492811	4.402487	4.344090599	5.300435706	8.740189	5.314111386	7.834659	9.273267	4.805067	6.615837121	9.019045	6.297906	5.876346776	4.395313	4.483209	4.788492	5.346485172	5.270881091	5.213571	7.998516	4.911403	6.429988	4.624959278	5.20874	7.720226402	6.767916	4.5147885	6.426201	7.055838322	6.620806483	5.490905003	5.075979551	9.228979661	7.936969	6.563771816	4.920704022	5.575469381	8.969443653	5.277697	6.640328	5.748454339	4.262445	4.236437	6.012381374	6.229181	6.721837	4.881733	6.617727	4.996924	6.801983347	5.006915	2.196960379	7.554629	7.623227274	5.38503	6.675795	9.047567058	3.807287	4.450472286	6.265994	4.263368	5.719065	6.718326	4.883629	7.924963	3.814925834	5.404564969	6.095809562	3.339067147	6.850661	7.28010855	6.805288	4.752184	4.027463	6.998304	4.031804748	4.227398939	3.903840382	3.780944785	4.097319641	6.789016708	3.601611	4.171812461	4.277691551	7.208180627	4.55684	5.830093983	7.140592	7.292661	9.529934	5.004309382	4.085515101	5.156537408	7.803436436	6.334813301	6.691204531	6.762861407	6.805803	6.163221116	5.53121	5.780945	6.335596641	6.371792	6.113513	6.129509	6.782668992	8.157728246	5.136683	3.697952501	3.900441	6.652324	4.667475583	7.959982659	5.848074	8.050301	4.707664575	2.793079	8.319434	8.765099063	3.314791	5.141834039	5.851802	3.586195	5.701421	7.337332	9.251332417	6.467024272	4.735033075	4.888785	4.982009	4.486653	4.853805803	5.262755	6.722391182	4.20555954	5.64908	4.622127865	4.611348332	9.544866	8.302091699	7.117515	6.815795351	7.636292969	8.757722	6.86526	6.416955	4.709748	4.393857	5.126405569	6.624552073	6.165177583	6.82282102	5.031115376	8.223905332	4.177573817	6.852028738	4.482184634	4.624527959
DMBT1	0.273269014	0.019392964	6.084037366	1.693699	6.504868	6.762786	0.2787141	0.418277333	0.8748923	1.995471	5.30517	8.996492121	0.103535054	0.014501388	4.028317297	0.372734162	5.465188	7.029788115	0.019362617	0.003426247	0.109881353	1.335229	0.006711289	0.02329418	8.779843261	0	7.945575	0.217650339	0.09369598	5.479247	4.283386	0.461736178	0.986734956	0.4322504	0.02286593	5.888658	5.351007	7.592132993	1.196248	0.038843469	5.201267	2.5431551	0.002747552	1.022485802	1.737971762	8.521192632	0.881574854	0.328461214	0.02173328	2.203036439	5.824615577	0.012835796	0.019508694	4.996262	5.610283	3.212554939	6.678727	8.36851	3.732775981	1.688278	4.152946	1.323355	0.2228445	0.7280406	2.359658947	10.03506	0.089586936	0.009649166	2.514497153	6.301459	2.618102	0.191955397	2.326358	5.406100354	0.01225015	8.041228	2.703875	0.4988011	9.357057	0	5.337882009	5.65294213	0.1986366	7.247655526	0.4406848	0.426598671	0.213938954	9.956272	0.9520494	0.03129683	4.813222272	5.55508094	0.254681295	8.113585543	0.193448954	0.289366997	2.143519	2.839621929	6.559488996	0.200051127	2.668849	9.431379963	0.007051641	0.03689818	0.1276383	8.724856778	0.575125101	6.516309331	6.293274427	1.312938202	0.16444989	1.401237861	0.2998319	0.004783934	7.844936	8.196122	0.015325553	0.01513621	10.17062	0.2425525	0.016669807	0.026625196	0.821367	4.935737235	5.921511	0.04470764	5.263264344	0.71575862	8.559123	0.009502878	1.879077327	0.104073	0.06529215	0.06009405	3.395189	5.776669963	9.403634	5.977301	0.02459361	0.05087571	0.014981871	0.751311284	0.084126579	0.4808736	0.1363801	8.23058	0.135968974	6.946837	0.292270202	6.534599084	1.170382	4.728909595	4.364250721	0.02339617	0.677648353	0.2725798	4.318720055	0	1.041207	0.6952808	0.08556181	6.765616	0.6003681	5.594456795	1.488376768	0.086104137	1.761166704	4.377158498	0.019353741	5.525819814	0.072740735	7.411205299	1.678201913
OLFM4	4.938356357	0.018022545	6.254709012	3.0307	7.937649	11.78571	0.7785048	0.809154397	5.674618	5.581497	5.934862	9.957164691	2.155175663	0.238996465	8.48591239	0.613133334	7.916426	5.434293028	0.129785749	0.1496857	0.028638082	2.461193	0.01244335	0.01626799	9.785847966	0.01153061	2.380015	0.093866062	0.1616649	4.392471	10.19073	2.082104159	2.592141181	0.1810363	0.02316845	8.909695	9.431894	6.435380517	0.02269267	3.221065841	2.551854	11.110757342	0	3.478505791	2.983964027	12.884473864	2.899203963	1.013248733	1.001763	0.091271754	9.421996407	0.04712689	0.016327351	8.230669	10.07239	0.026093929	9.882122	10.42425	6.841638908	0.008608125	3.082098	1.595263	0.5212424	0.03661193	0.955161795	9.660962	0.41729301	1.154944	1.981941572	6.126998	4.860928	0.104102273	0.6646216	8.628205231	0.1619705	7.390057	1.015584	4.001858	8.30457	0.02343516	3.42637368	7.506005867	0.490491151	12.8286857	1.778143	4.137187079	0.851631437	12.68908	0.03013263	0.0688636	0.393547678	8.634730557	0.595101659	10.632536771	1.144944202	0.166935397	4.517117	11.384580346	10.816747948	2.227843906	2.872508	9.564706973	0.01307308	1.092542	0.01479964	10.456578742	1.869600979	10.603246821	9.653659055	6.026312871	0.364793431	0.158224054	0.4963621	0.256253826	6.041575	6.930739	0.063006406	1.003013	9.509187	0.1030755	0.045982135	7.810787643	3.798033	8.260842658	8.185437	0.2510033	10.250970593	1.066189839	7.964506	0.06747615	4.649190593	0.03536472	0.006632164	0.174284969	4.024555	5.829059158	9.07859	0.4065918	0.006270164	0	0.112967433	1.677573408	4.047083186	1.534106	1.597443	9.385901	1.679545623	0.3368753	0.02150674	6.586108452	3.189185	6.323694133	9.29594803	0.9313477	2.321830953	1.455603	1.751171016	0.013878053	0.6515584	4.805128	0.01437784	10.08259	2.914952	7.850052507	2.38829059	2.628071932	0.516332384	5.411963784	0.104699244	7.874615562	0.088923787	9.022665546	3.822953671
PTPN13	0.906160794	4.01056073	0.250618332	5.237649	2.862154	2.895055	1.281485	3.392243465	1.002057	5.318906	1.341566	2.66502605	4.057902255	2.307125449	0.928506204	3.961132128	0.2797887	1.225460699	3.328260452	2.972609	2.765613514	3.850207	3.311739	5.389824	0.806851185	3.290733	0.1811206	4.544466633	0.312775	0.7151009	1.639004	1.978447115	1.684405218	3.937984	3.571835	0.1105173	4.532536	0.559331981	3.680394	2.720906075	3.755553	1.382130736	2.378686	2.942857613	3.714883584	0.354204277	1.512823763	2.648767854	5.074002	3.679315369	0.923495531	4.033645375	2.866481316	1.712202	0.2618329	0.305346949	0.831691	2.206569	1.25567849	4.137021	4.38455	3.20003	3.300676	2.616361	4.347460912	0.8225242	3.986635655	3.13282	3.672351532	0.30038	4.563508	2.588060768	1.723024	1.9107185	4.043916	1.236286	4.560283	4.139568	2.287005	4.443534	0.551121273	2.574470276	5.049901967	0.335241646	2.993909	2.755804676	2.799956555	0.653282	3.016926	4.199572	1.426718298	1.443187361	2.085517553	0.404125199	0.923714991	3.963517017	1.010757	1.909477105	0.368550709	4.541921388	2.801501	0.380643614	2.867835	4.740344	3.127103	0.47806435	4.097874362	1.269049338	0.220114605	0.602945142	2.595981176	4.246981066	3.61648	4.471061911	0.3200066	0.1200143	4.209220343	2.968074	0.2687452	4.144107	3.381549116	3.215889922	3.487368	1.31400716	1.167583	3.926259	1.021049474	3.424733026	0.3419895	3.843454	1.557921171	0.467883	3.576083	5.262974745	1.530134	2.969603607	1.797722	0.1556497	4.097349	3.322549	4.292194776	3.148732629	4.146094902	0.537446	1.635601	2.04909	2.197074791	1.095089	5.659786365	1.56534961	2.142719	0.540065454	0.697861973	3.347818	4.456618933	2.89605	3.126059301	3.585398204	2.780819	2.396539	3.269359	2.034507	1.216015	3.03339637	3.64191058	4.640659088	4.296895053	1.748081767	3.220747213	1.498077843	2.83448958	1.316114552	3.230320058
