ID	StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity	CancerType
TCGA-CR-7368-01A	-538.7942042	971.4383577	432.6441535	0.784755768	HNSC
TCGA-CQ-A4C9-01A	-188.0110565	287.1938701	99.18281362	0.814142111	HNSC
TCGA-CR-7380-01A	472.5521309	858.3933896	1330.94552	0.696452316	HNSC
TCGA-CN-5369-01A	504.0312563	1979.430139	2483.461395	0.565686731	HNSC
TCGA-BA-A6DE-01A	-1074.020084	161.2585202	-912.7615636	0.891112963	HNSC
TCGA-CV-5978-01A	1003.303191	1504.70871	2508.0119	0.562711356	HNSC
TCGA-D6-6823-01A	-824.050036	169.2835848	-654.7664512	0.873293115	HNSC
TCGA-CN-6012-01A	-211.8792515	1205.328069	993.4488177	0.731133797	HNSC
TCGA-CR-7393-01A	1193.910858	2290.438955	3484.349813	0.438875648	HNSC
TCGA-CN-6994-01A	43.43485843	582.5873006	626.022159	0.766848425	HNSC
TCGA-MT-A67A-01A	-970.2185784	636.655329	-333.5632494	0.849360412	HNSC
TCGA-CN-A63U-01A	-1531.594299	-353.9745962	-1885.568895	0.946621651	HNSC
TCGA-CV-7418-01A	-970.3808159	618.882744	-351.4980719	0.850747001	HNSC
TCGA-IQ-A6SG-01A	-1000.228757	-136.7777449	-1137.006502	0.905564475	HNSC
TCGA-CV-A6JE-01A	36.30843506	1404.370854	1440.679289	0.684803573	HNSC
TCGA-BA-6872-01A	-192.353038	545.1233892	352.7703512	0.791968598	HNSC
TCGA-CV-A460-01A	274.8664652	1746.626663	2021.493128	0.620262556	HNSC
TCGA-BB-4227-01A	-1200.613331	-18.42038283	-1219.033714	0.910606454	HNSC
TCGA-CR-7391-01A	832.2694725	1896.945799	2729.215271	0.535577952	HNSC
TCGA-CV-7415-01A	212.9738276	1150.807096	1363.780924	0.692985496	HNSC
TCGA-CR-7385-01A	-711.0318621	1846.891821	1135.859959	0.716713464	HNSC
TCGA-KU-A6H7-01A	-717.4151144	1777.460984	1060.04587	0.72442967	HNSC
TCGA-BA-A6DI-01A	-1148.789106	132.5947778	-1016.194328	0.897899635	HNSC
TCGA-CQ-A4CI-01A	-343.4485045	-544.7143334	-888.1628379	0.88946864	HNSC
TCGA-BB-A5HU-01A	205.7557083	553.9802396	759.7359479	0.754103958	HNSC
TCGA-HD-A634-01A	-1808.322028	-994.2534683	-2802.575497	0.981317668	HNSC
TCGA-CV-6436-01A	-419.5304563	1660.907989	1241.377533	0.705826568	HNSC
TCGA-CV-5434-01A	772.1777776	1277.333769	2049.511547	0.617031279	HNSC
TCGA-D6-8568-01A	170.911607	983.9423013	1154.853908	0.714766355	HNSC
TCGA-CV-A6K0-01B	565.4262544	1833.465932	2398.892186	0.575879535	HNSC
TCGA-CN-A6UY-01A	-1062.440909	1727.845508	665.4045992	0.763125297	HNSC
TCGA-P3-A5Q6-01A	201.720111	309.1771581	510.8972692	0.777584669	HNSC
TCGA-F7-A620-01A	-322.9696943	1686.762274	1363.79258	0.692984263	HNSC
TCGA-CN-A49A-01A	-131.3926545	-549.8556195	-681.2482741	0.875180349	HNSC
TCGA-CV-5430-01A	-185.3811529	1224.684847	1039.303694	0.726525176	HNSC
TCGA-CV-7261-01A	71.38354841	383.8599317	455.2434801	0.782695362	HNSC
TCGA-KU-A6H8-01A	-9.45093517	795.3499939	785.8990587	0.751576173	HNSC
TCGA-CR-7370-01A	-184.9414099	234.520788	49.57937814	0.818348441	HNSC
TCGA-CN-A6V3-01A	-901.6164225	951.9909056	50.37448313	0.818281358	HNSC
TCGA-CN-5367-01A	-238.0280497	732.419901	494.3918513	0.779105792	HNSC
TCGA-BA-5559-01A	457.9408482	2359.313094	2817.253942	0.524620197	HNSC
TCGA-CV-7435-01A	1139.477262	1107.240695	2246.717957	0.593995958	HNSC
